reviewid	title	body	shortdescription
10045	great motherboard	well before building your computer you must read every single detail in the motherboard information, because if you pass a detail doesn't mean this product is a bad.I personal see first "Compusa" for a full review. even if you don't now what your buying , you always can check it here for a good revision. DDR3 1333 is a goood sppedd to begin, this motherboard is very popular right now so don't blame this motherboard for that.	With resource intensive games and multimedia tools constantly evolving to the next technological level, you need equally advanced hardware to ensure the best possible computing experience. Hardcore gamers and multimedia enthusiasts can take solace in the fact that next-generation BrandXYZ? Extreme Series Desktop Boards combine with the latest BrandXYZ processors to run the most demanding software applications with ease. Amazon.com Product DescriptionWith resource intensive games and multimedia t...
10141	Huge potential	My initial evaluation of this flash gun is quite positive This unit is easy to use with huge and endless potentials. The menu system is very intuitive typical of nikon and I like the possibility of using this as master & remote making SU800 CLS functionality quite redundant. Over heating has not been an issue for me at least at this time and I can see myself using this flash more often than not.....	Professional i-TTL Speedlight compatible with BrandXYZ FX and DX format SLRs, and part of the BrandXYZ Creative Lighting System. This powerful Speedlight offers photographers extensive creative opportunities for their flash photography. Three illumination patterns - Center-weighted, Even and Standard - provide total control over flash coverage and it covers a class-leading auto zoom range of 17-200mm in just 1.2 seconds.Advanced features include a booster circuit that enables high-speed recyclin...
18785	Great Products	This is a great products Pros: - Good sound quality - support WPA, WPA2, WEP and open network. - easy to use Need to Improve: - Battery life. if it can go up to 12 Hours or more. it will be great. - Better Wizard for use with WPA and other Encryption. - Cheaper Price is better - Support SMS please - Add WIFI Signal Indicator please	
18786	It is nice	I tested that product , it is really great with nice sound quality , just have a one negative point that is you can not sending sms to somebody . but totaly is great & recommend to you .	
18787	seems to work well	the 2 pack arrived this afternoon and took very little time to get setup and working. audio quality is great and sounds better than on computer also using wireless. only downside so far is the "double ringing" when making out going calls.	
10048	Great Motherboard	It works as i expected.and came with some nice with some features i didn't know it had. it runs very cool came with 2 clear blue SATA cables. clean design. great for any new build	With resource intensive games and multimedia tools constantly evolving to the next technological level, you need equally advanced hardware to ensure the best possible computing experience. Hardcore gamers and multimedia enthusiasts can take solace in the fact that next-generation BrandXYZ? Extreme Series Desktop Boards combine with the latest BrandXYZ processors to run the most demanding software applications with ease. Amazon.com Product DescriptionWith resource intensive games and multimedia t...
10187	worthless	bought to use with my laptop via usb. box stated product will provide audio and video. after installing "amcap" icon appeas on desktop. click on the shortcut and video appears but no audio. go to the lorex site for troubleshooting tips only to find....well nothing. Searched via google for additional but not much out there. after extensive searching i find a few references that indicate getting the audio to work will be a chore. Tried on xp and vista laptops, same issues. When i purchase something I don't want or need to spend hours researching how to make the product do what it says it will do. save your money unless you like troubleshooting	BrandXYZ Enhanced Wireless Technology eliminates interference from most household appliances and the slim line receiver connects to TV / VCR / DVD Recorder devices in minutes. Enjoy listen-in audio from the built-in microphone and the ability to optionally add batteries so that the camera is truly portable
10189	Excellent system, good value	I looked at the other two similar systems available and this one is the best in my opinion: Setup is extremely easy - charge and turn on. Picture quality both day and night vision are excellent. Camera can be rotated at good variety of angles and can be battery powered (though night vision would drain batteries quickly). It's digital, so neighbors can't see your cameras and you can't see theirs instead of yours. What differentiated this from the other ones for me was: 1) availability of additional cameras, up to 4 that can be monitored from same receiver, and 2) this system uses Frequency Hopping Spread Spectrum technology, so it can co-exist with your 802.11b/g access points. I was able to use my laptop over 802.11g just fine while using the camera receiver right next to it.	BrandXYZ introduces the latest in Wireless Digital Technology with excellent video quality and audio quality. The digital signal is secure and interference free. Add up to three cameras to this system for surveillance in various locations. Enjoy the convenience of an included rechargeable battery and cradle in addition to the built in stand & belt clip
10049	Intel p45	this mb is awesome, i just pluged all the stuff on it and power on.. and that was all. the mb configured all (memory speed, CPU, FSB.. all) so this is a must buy!!!! i love Intel. works Extremely fine with corsair.... :D	With resource intensive games and multimedia tools constantly evolving to the next technological level, you need equally advanced hardware to ensure the best possible computing experience. Hardcore gamers and multimedia enthusiasts can take solace in the fact that next-generation BrandXYZ? Extreme Series Desktop Boards combine with the latest BrandXYZ processors to run the most demanding software applications with ease. Amazon.com Product DescriptionWith resource intensive games and multimedia t...
10194	Almost five stars if only...	I just started using this video monitor and I think it is really good quality. Picture is very clear and sharp. My only beef is that there is no way that I can find to turn the sound on constant. Basically the sound turns on every time the baby makes a noise then mutes itself after about 10 seconds until the baby makes another noise. I would prefer to have the sound be on constantly because the off and on is a bit jarring and makes it difficult to sleep. So annoying to me that I'm tempted to return it. Other than that it is a really good system and if you can stand the constant muting then this is the system for you.	BrandXYZ introduces the latest in Wireless Digital Technology with excellent video quality and audio quality. The digital signal is secure and interference free. Add up to three cameras to this system for surveillance in various locations. Enjoy the convenience of an included rechargeable battery and cradle in addition to the built in stand & belt clip
10195	Wow - How Stupid is this?	I don't usually bother writing too many reviews but I had to with this one. This product seemed to have good reviews so I bought one. The first night, it worked great and then 2nd night, the signal kept dropping from the camera to the receiver. And no, it doesn't make any sound or warning when the signal drops. It is used for the baby's room so it is a critical piece of equipment for our family. The signal dropping was intermittent and I tried pairing the receiver to the camera, reboot, etc... and finally gave up. I called customer support and they said that if I have a wireless phone at home, to turn it off and it will work right. There is no documentation or warning on this in any of their manuals. So, I asked, "let me get this straight - I can use this system but I can't have my phone on"... answer "Uhh.. yeah". Stupid!!!!!! It's going back to Amazon with a big complaint. Note: This same system has various different names on Amazon, the Safe Baby "Guaranteed Interference Free" system is same product, different name. Don't waste your money!	BrandXYZ introduces the latest in Wireless Digital Technology with excellent video quality and audio quality. The digital signal is secure and interference free. Add up to three cameras to this system for surveillance in various locations. Enjoy the convenience of an included rechargeable battery and cradle in addition to the built in stand & belt clip
10051	what a peace of junk	i dont see how others are doing better then me on this board. . i cant get the sound to play right. i have trid with my sound card and the onboard sound. both sound bad. my sound card worked will on my old board. and it runs like an old computer. the only thing it will do better then my old one is windows will install the way it should. my old motherboard runs and works so much better its unreal. but.... windows is hell to load. i would just toss it but i have 4 gb of ddr 3 mem for it and that cost a lot more. i have the worst luck on building my computers now days.	With resource intensive games and multimedia tools constantly evolving to the next technological level, you need equally advanced hardware to ensure the best possible computing experience. Hardcore gamers and multimedia enthusiasts can take solace in the fact that next-generation BrandXYZ? Extreme Series Desktop Boards combine with the latest BrandXYZ processors to run the most demanding software applications with ease. Amazon.com Product DescriptionWith resource intensive games and multimedia t...
10199	NEW BABY DADDY	GREAT PICTURE AND SOUND CAMERA SENSITIVITY SENSITIVE TO ADJUSTMENT NEEDS TWO PERSONS TO SET UP	BrandXYZ introduces the latest in Wireless Digital Technology with excellent video quality and audio quality. The digital signal is secure and interference free. Add up to three cameras to this system for surveillance in various locations. Enjoy the convenience of an included rechargeable battery and cradle in addition to the built in stand & belt clip
10201	AMAZING....	I had originally tried the Sharx SCX2601LD 2.4 GHz Wireless Pan Tilt because you could move the camera around the room remotely. It stopped working after 15 minutes. I replaced it with the Lorex and it's been incredible. I have the camera in the basement and the monitor upstairs. I get the clearest picture ever and absolutely no interference of any kind. It did bother me that the sound would only come on when the baby would make a noise. I liked having a constant sound. But I quickly got used to it. There is about a 1.5 second delay between when the baby makes a sound and when you hear it on the monitor. We've had this for about 1 month now. It's constantly on and still works beautifully. An awesome buy, even if I can't tilt the camera remotely.	BrandXYZ introduces the latest in Wireless Digital Technology with excellent video quality and audio quality. The digital signal is secure and interference free. Add up to three cameras to this system for surveillance in various locations. Enjoy the convenience of an included rechargeable battery and cradle in addition to the built in stand & belt clip
10052	Gran calidad a bajo precio	Intel una de las mejores marcas del mercado,,, confio mucho en ella,.de la nueva linea DDR3 esta es una buena opcion si te interesan los juegos de alta definicion en video,, ya que esta tarjeta madre no trae integrado vga,.,. entonces te obliga a ponerle una tarjeta de video, obviamente estaras tentado por una de gran capacidad como de 1Gb,.-La recomiento mucho.. maneja facilmente RAID y dispositivos de alta potencia...Todas mis compras en Amazon an sido exitosas,,completamente satisfecho.,.	With resource intensive games and multimedia tools constantly evolving to the next technological level, you need equally advanced hardware to ensure the best possible computing experience. Hardcore gamers and multimedia enthusiasts can take solace in the fact that next-generation BrandXYZ? Extreme Series Desktop Boards combine with the latest BrandXYZ processors to run the most demanding software applications with ease. Amazon.com Product DescriptionWith resource intensive games and multimedia t...
10959	Muddy, distorted sound	I bought this product on [...] a little while back. On my iPod Touch, with the EQ turned off, the sound is muddy, indistinct, and distorted. The very low frequencies sound merely okay, and anything higher (voices, most instruments, percussion) sounds like it's being played through a thick pillow--muted and muffled. It makes me think of watching TV behind a pane of glass or something--you can hear what's going on, but everything sounds a little bit off. You can do better than this for much less money, honestly. Just going by sound quality, these sound like $[...] earbuds. I would suggest these, which are cheap and have solid sound quality, though unfortunately short longevity (I've owned 8-9 pairs in the last 4 years):	Featuring high-fidelity 9mm neodymium drivers, a gold-plated 3.5mm stereo plug, and a unique lightweight alloy metal body that effectively delivers clear, powerful sound while providing a comfortable listening experience.
10055	Motherboard won't even POST	I ordered this motherboard a couple of days ago along with a bunch of other things with the intention to create a good gaming computer. Among the things I bought are a pair of OCZ 2gb DDR3 chips, which well I assumed they'd be perfect for this motherboard. Apparently I made a big mistake. I've been researching for an hour now, and found out that this motherboard won't work whatsoever if you connect overclocked RAM on it, without flashing it for a BIOS upgrade first. Obviously this can be expected, as the RAM I bought runs at 1.7v instead of the 1.5v standard. So well, I thought I'd try to upgrade the BIOS, but so far I haven't even managed to make the motherboard to POST. I've already removed every single piece of hardware attached to it. The HD, the RAM, the video card, the CPU. Checked the CPU fan, and even checked it with another PSU I had around here. Still nothing, won't get to POST. I found some sites that suggested to clear the CMOS, but this didn't work either. In fact, I'm not sure if I've managed to clear it as I don't get anything on screen to be sure it worked. I don't know, the specs of the motherboard look very good on paper, but as I just got my hands on it I've realized this is getting to be a headache of which I'm not sure I gonna get rid of soon. I gonna keep researching, hopefully I can find a way to fix it as returning it is not a realistic option for me (I live in Mexico, returning it would cost me twice as much).	With resource intensive games and multimedia tools constantly evolving to the next technological level, you need equally advanced hardware to ensure the best possible computing experience. Hardcore gamers and multimedia enthusiasts can take solace in the fact that next-generation BrandXYZ? Extreme Series Desktop Boards combine with the latest BrandXYZ processors to run the most demanding software applications with ease. Amazon.com Product DescriptionWith resource intensive games and multimedia t...
